Name,Location,Contact,Rating,PRICE RANGE,CUISINES,MEALS,SPECIAL DIETS,FEATURES,id
Caminata,"96 Bedford Hill Balham, London SW12 9HR England",+44 20 8772 0701,4.5,13.93 - 27.87,"Italian, Pizza, European, Neapolitan, Campania, Southern-Italian",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,132
Dulwich Tandoori,"54 Lordship Lane, London SE22 8HJ England",+44 20 8693 3012,4.5,4.97 - 9.95,"Indian, Balti, Asian, Bangladeshi",,Vegetarian Friendly,,133
The Avocado Show - London Princes Street,"6 Princes Street, London W1B 2LG England",+44 7594 561103,4.5,17.92 - 24.88,"International, European, Contemporary, Healthy",,"Vegetarian Friendly, Vegan Options",,134
Mallow Borough Market,"1 Cathedral Street In Between The Golden Hinde and Borough Market, London SE1 9DE England",+44 20 7846 8785,4.5,2.38 - 12.66,International,,Vegan Options,,135
Grato,"9 Kensington Square, London W8 5EP England",+44 20 3371 9338,4.5,4.97 - 24.88,"Italian, Mediterranean, Tuscan, Central-Italian, Northern-Italian, Southern-Italian",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,136
The Wine Place Covent Garden,"33, The Market Building Covent Garden, London WC2E 8BE England",+44 20 7240 7887,4.5,4.97 - 11.95,"Italian, Wine Bar, Mediterranean, European",,Vegetarian Friendly,,137
The Falcon Harvester,"Lingfield Crescent Eltham, London SE9 2RN England",+44 20 8850 3663,4.0,2.99 - 14.93,"Bar, British, Pub",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,138
Turmeric Kitchen London Paddington,"55 Westbourne Terrace, London W2 3UY England",+44 20 4542 4565,4.5,14.24 - 22.15,"Indian, European","Lunch, Dinner, Drinks",,,139
Cirrik 19 Numara Bos,"34 Stoke Newington Road, London N16 7XJ England",+44 20 7249 0400,4.5,9.95 - 24.88,"Mediterranean, Barbecue, Turkish, Middle Eastern",,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",,140
Hazara,"44 Belsize Lane, London NW3 5AR England",+44 20 7433 1147,4.5,15.82 - 19.78,"Indian, Asian",,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",,141
Anglo,"30 St. Cross Street, London EC1N 8UH England",+44 20 7430 1503,4.5,19.78 - 55.38,"European, British",,"Vegetarian Friendly, Gluten Free Options",,142
Hungry Turtle,"1 Walham Green Court, London SW6 2DH England",+44 7889 629291,5.0,8.96 - 14.93,"Italian, Pizza, European",,"Vegetarian Friendly, Vegan Options",,143
Carmen Tapas,"6 Clapham Common South Side underground : opposite Clapham Common station, London SW4 7AA England",+44 20 7622 6848,4.5,7.96 - 24.88,"Mediterranean, European, Spanish, International, Catalan",,"Vegetarian Friendly, Gluten Free Options",,144
Bonoo Indian Tapas,"675 Finchley Road, London NW2 2JP England",+44 20 7794 8899,5.0,19.91 - 29.86,"Wine Bar, Indian, Contemporary, Street Food",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,145
Turtle Bay Hammersmith,"245 Hammersmith Road, London W6 8PW England",+44 20 3026 0525,5.0,,"Caribbean, Bar, Pub, Jamaican, Dining bars","Lunch, Dinner",,,146
Devine Restaurant Coffee Bar,"19 Vine Street, London EC3N 2PX England",+44 20 7488 9929,5.0,3.95 - 7.91,"Cafe, British",,"Vegetarian Friendly, Vegan Options",,147
Kings Chinese Takeaway,"119 Junction Road, London N19 5PX England",+44 20 7272 1138,3.0,,"Chinese, Asian, Street Food",Dinner,Vegetarian Friendly,,148
Taste Of Nawab,"97 Colney Hatch Lane, London N10 1LR England",+44 20 8883 6429,5.0,14.93 - 19.91,"Indian, Healthy",,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",,149
Nora Cafe,"9 Wentworth Street, London E1 7TB England",+44 7786 155696,5.0,,Cafe,"Breakfast, Lunch, Brunch, Late Night, Drinks","Vegetarian Friendly, Vegan Options",,150
Hibox,"48 Goodge Street, London W1T 4LX England",+44 20 7580 9312,5.0,4.97 - 7.96,"Lebanese, Mediterranean, Middle Eastern, Healthy, Fast Food",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,151
Indian Moment,"44 Battersea Rise Battersea, London SW11 1EE England",+44 20 7223 6575,4.5,,"Indian, Asian","Lunch, Dinner, Drinks, Late Night","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",,152
Bruce Burgers,"93 Bruce Grove Tottenham, London N17 6UZ England",+44 20 8411 0087,5.0,7.91 - 19.78,"Fast Food, American, Grill, Jamaican",,"Vegetarian Friendly, Halal, Gluten Free Options, Vegan Options",,153
Kinaara,"1 Waterview Drive Greenwich Peninsula, London SE10 0TW England",+44 20 8463 6913,5.0,11.87 - 39.56,Indian,Dinner,,,154
Andromeda Restaurant,"87-88 Plender Street Camden Town Camden Town, London NW1 0JN England",+44 20 7388 4121,5.0,3.95 - 79.12,Greek,"Lunch, Dinner",,,155
Andy's Greek Taverna,"23 Pratt Street Camden, London NW1 0BG England",+44 20 7485 9718,5.0,,"Mediterranean, European, Greek, Healthy",Dinner,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,156
The Spice Indian Restaurant,"161 Fortess Road, London NW5 2HR England",+44 20 7267 7430,5.0,,"Indian, Asian, Balti, Bangladeshi",Dinner,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",,157
The Rajdoot Hampstead,"104 Fleet Road Hampstead, London NW3 2QX England",+44 20 7485 1329,5.0,14.93 - 39.81,"Indian, Asian, Grill",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,158
Steak And Lobster Marble Arch,"19-25 Granville Place Radisson Blu Edwardian Sussex Hotel, London W1H 6PA England",+44 20 7666 2690,4.5,14.93 - 34.84,"Steakhouse, Seafood, European",,"Vegetarian Friendly, Gluten Free Options",,159
Eastern Eye Balti House,"63A Brick Lane, London E1 6QL England",+44 20 7247 8643,4.5,9.95 - 29.86,"Indian, Asian, Balti, Bangladeshi",,"Vegetarian Friendly, Vegan Options, Halal",,160
Chamisse,"55 Gray's Inn Road, London WC1X 8PP England",+44 20 7430 0799,5.0,6.97 - 24.88,"Lebanese, Mediterranean, Middle Eastern",,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",,161
Bebs Kitchen,"126 Acre Lane, London SW2 5RJ England",+44 20 3659 8915,5.0,9.95 - 16.92,Indian,,"Vegetarian Friendly, Vegan Options",,162
The Golden Chippy,"62 Greenwich High Road, London SE10 8LF England",+44 20 8692 4333,5.0,,"Seafood, British","Lunch, Dinner",,"Takeout, Outdoor Seating, Seating, Wheelchair Accessible, Serves Alcohol, Accepts Credit Cards, Table Service",163
KöD London,"9A Devonshire Square, London EC2M 4YN England",+44 20 4586 5729,5.0,24.88 - 79.62,"Steakhouse, Grill","Lunch, Dinner, Drinks",,,164
Govinda's Vegan & Vegetarian Restaurant,"9-10 Soho Street The restaurant is in biwin Oxford street and soho square., London W1D 3DL England",+44 20 3687 0617,4.5,,Indian,"Lunch, Dinner, Late Night","Vegetarian Friendly, Vegan Options, Gluten Free Options",,165
The Avocado Show - London Princes Street,"6 Princes Street, London W1B 2LG England",+44 7594 561103,4.5,17.92 - 24.88,"International, European, Contemporary, Healthy",,"Vegetarian Friendly, Vegan Options",,166
Volare,"167 Bowes Road, London N11 2JA England",+44 20 3105 2662,5.0,,"Spanish, Italian, Pizza, Mediterranean","Lunch, Dinner, Brunch","Vegetarian Friendly, Vegan Options, Gluten Free Options",,167
The Peasant,"240 St. John Street Clerkenwell, London EC1V 4PH England",+44 20 7336 7726,4.5,8.96 - 15.92,"Bar, British, Pub",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,168
The Great Chase London,"316 St.John Street Clerkenwell, London EC1V 4NT England",+44 20 3887 9768,4.5,,"British, European","Lunch, Dinner","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",,169
Kazan Restaurant,"93-94 Wilton Road Victoria, London SW1V 1DW England",+44 20 7233 7100,4.5,19.91 - 39.81,"Mediterranean, European, Turkish, Middle Eastern",,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",,170
Hanwoo Village Korean BBQ Restaurant,"18-19 St. Albans Place Hanwoo Village Korean bbq restaurant, London N1 0NX England",+44 20 7288 1123,4.5,,"Asian, Korean, Grill, Healthy",Lunch,,"Takeout, Outdoor Seating, Private Dining, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Digital Payments, Free Wifi, Accepts Credit Cards, Table Service, Family style",171
Bon Gusto,"75-77 Buckingham Gate, London SW1E 6PD England",+44 20 7222 7185,4.5,,Italian,"Lunch, Dinner, Brunch","Vegetarian Friendly, Vegan Options, Gluten Free Options",,172
Cappadocia Cafe & Bistro,"293 Gray's Inn Road Holborn, Kings Cross, London WC1X 8QF England",+44 20 7833 2001,4.5,,"Cafe, European, British","Breakfast, Lunch, Brunch","Vegetarian Friendly, Vegan Options, Gluten Free Options",,173
Bel Canto Restaurant,"67 Bayswater Road Corus Hotel Hyde Park, London W2 3PN England",+44 20 7262 1678,4.5,59.72 - 99.53,French,,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,174
TigerBay Shisha Lounge,"234 Kingsbury Road, London NW9 0BH England",+44 7741 656676,4.5,,"Bar, Asian, International","Lunch, Dinner, Late Night, Drinks","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",,175
Chez Elles Bistroquet,"45 Brick Lane, London E1 6PU England",+44 20 7247 9699,4.5,14.93 - 46.78,"Wine Bar, French, European",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,176
Blacklock Soho,"24 Great Windmill Street Soho, London W1D 7LG England",+44 20 3441 6996,4.5,14.93 - 29.86,"Steakhouse, Barbecue, British",,Gluten Free Options,,177
Tia Rosa,"118 King's Cross Road, London WC1X 9DS England",+44 20 7837 5304,4.5,7.96 - 44.78,"Mediterranean, European, Portuguese, International, Grill","Lunch, Dinner, Brunch, Drinks",,,178
Salut!,"412 Essex Road, London N1 3PJ England",+44 20 3441 8808,4.5,,"European, Contemporary, Fusion","Lunch, Dinner, Brunch","Vegetarian Friendly, Vegan Options, Gluten Free Options",,179
Lanes of London,"140 Park Lane, London W1K 7AA England",+44 20 7647 5664,4.5,17.92 - 24.88,British,,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,180
Sam's Riverside,"1 Crisp Walk, London W6 9DN England",+44 20 8237 1020,4.5,,"British, European","Lunch, Dinner, Drinks","Vegetarian Friendly, Vegan Options, Gluten Free Options",,181
Bocas,"180 St. John Street, London EC1V 4JY England",+44 7474 734052,5.0,,"Argentinean, South American, Bar, Spanish, Pub, Fusion","Lunch, Dinner, Brunch, Late Night, Drinks",,"Reservations, Private Dining, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Table Service, Non-smoking restaurants",182
AW Restaurant,"37 Conduit Street, London W1S 2YF England",+44 20 7629 7755,4.5,59.72 - 89.57,"European, British",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,183
Coda Restaurant by Eric Chavot,"Kensington Gore Royal Albert Hall, London SW7 2AP England",+44 20 7589 8212,4.5,26.87 - 64.69,,"Dinner, Drinks","Vegetarian Friendly, Vegan Options",,184
Flat Iron Kings Cross,"47-51 Caledonian Road Kings Cross, London N1 9BU England",Website,4.5,7.91 - 19.78,"Steakhouse, British","Lunch, Dinner",,,185
L'oro di Napoli,"6 The Quadrant Little Ealing Lane, London W5 4EE England",+44 20 3632 5580,4.5,,"Italian, Pizza, Neapolitan, Campania, Southern-Italian","Lunch, Dinner","Vegetarian Friendly, Vegan Options",,186
Grand Cholan Indian Cuisine,"3 Turnberry Quay Pepper Street, London E14 9RD England",+44 20 7515 6888,5.0,14.93 - 21.89,"Indian, Asian",,"Vegetarian Friendly, Vegan Options",,187
The Victoria,"10A Strathearn Place Paddington, London W2 2NH England",+44 20 7724 1191,4.5,,"Bar, British, Pub, Gastropub","Lunch, Dinner, Brunch, Late Night, Drinks","Vegetarian Friendly, Vegan Options, Gluten Free Options",,188
Blacklock City,"13 Philpot Lane, London EC3M 8AA England",+44 20 7998 7676,4.5,14.93 - 29.86,"Steakhouse, British, Grill",,Gluten Free Options,,189
Angus Steakhouse Leicester Square,"20 Cranbourn Street Leicester Square, London WC2H 7AD England",+44 20 7836 3782,4.0,24.53 - 49.05,"Steakhouse, British",,Gluten Free Options,,190
The Avocado Show - London Princes Street,"6 Princes Street, London W1B 2LG England",+44 7594 561103,4.5,17.92 - 24.88,"International, European, Contemporary, Healthy",,"Vegetarian Friendly, Vegan Options",,191
Pure Indian Cooking,"67 Fulham High Street, London SW6 3JJ England",+44 20 7736 2521,4.5,34.84 - 54.74,"Asian, Indian",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,192
Gunes Restaurant,"328 Hoe Street, London E17 9PX England",+44 20 8521 6789,5.0,9.95 - 49.76,"Mediterranean, Turkish, Grill, Healthy, Middle Eastern",,Vegetarian Friendly,,193
TOKii,"50 Great Cumberland Place Marble Arch, London W1H 7FD England",+44 20 7724 0486,4.5,4.97 - 54.74,"Japanese, Sushi, Asian, Healthy, Japanese Fusion",,"Vegetarian Friendly, Vegan Options",,194
The Gardeners Pub,"Southfields 268 Merton Road, London SW18 5JL England",+44 20 3601 2455,4.5,3.95 - 19.78,"Bar, British, Pub",,Vegetarian Friendly,,195
Miller & Carter,"87 Muswell Hill Broadway, London N10 3HA England",+44 20 8883 7382,4.5,14.93 - 29.86,Steakhouse,,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,196
Il Borro Tuscan Bistro London,"15 Berkeley Street, London W1J 8DY England",+44 20 3988 7717,5.0,24.88 - 74.65,"Italian, Tuscan, Pizza","Lunch, Dinner, Late Night, Drinks",,,197
Capeesh,"4 Pan Peninsula Square Canary Wharf, London E14 9HN England",+44 20 7538 1111,4.5,4.97 - 99.53,"Italian, Pizza",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,198
Bife,"40-42 Middlesex Street, London E1 7EX England",+44 20 7650 7948,4.5,14.93 - 29.86,"Steakhouse, Barbecue, Argentinean",,Gluten Free Options,,199
Grand Cholan Indian Cuisine,"3 Turnberry Quay Pepper Street, London E14 9RD England",+44 20 7515 6888,5.0,14.93 - 21.89,"Indian, Asian",,"Vegetarian Friendly, Vegan Options",,200
Hanwoo Village Korean BBQ Restaurant,"18-19 St. Albans Place Hanwoo Village Korean bbq restaurant, London N1 0NX England",+44 20 7288 1123,4.5,,"Asian, Korean, Grill, Healthy",Lunch,,"Takeout, Outdoor Seating, Private Dining, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Digital Payments, Free Wifi, Accepts Credit Cards, Table Service, Family style",201
Salento,"3 Clove Crescent, London E14 2BB England",+44 20 7537 2373,4.5,,"Italian, Bar, Pizza, Mediterranean","Brunch, Breakfast, Lunch, Dinner, Late Night, Drinks","Vegetarian Friendly, Vegan Options, Gluten Free Options",,202
Tea Darling Refreshingly Vintage,"114 Churchfield Road Acton, London W3 6BY England",+44 7825 559180,5.0,1.99 - 19.91,"British, Cafe",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,203
Il Portico,"277 Kensington High Street, London W8 6NA England",+44 20 7602 6262,4.5,34.84 - 54.74,"Italian, Mediterranean, European",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,204
Inca London,"8-9 Argyll Street, London W1F 7TF England",+44 20 7734 6066,4.0,,"South American, Japanese Fusion, Latin, Spanish, Asian","Dinner, Late Night, Drinks",,"Reservations, Private Dining, Accepts Credit Cards",205
Augustine Kitchen,"63 Battersea Bridge Road, London SW11 3AU England",+44 20 7978 7085,4.5,9.95 - 29.86,"French, European",,"Vegetarian Friendly, Gluten Free Options",,206
Terra Rossa St Paul's,"62 Carter lane, London EC4V5EA England",+44 20 7248 6600,4.5,24.88 - 54.74,"Italian, Pizza, Mediterranean, Street Food, Southern-Italian","Lunch, Dinner, Drinks",,,207
CERU,"7-9 Bute Street, London SW7 3EY England",+44 20 3195 3001,4.5,11.95 - 44.78,"Israeli, Mediterranean, Healthy, Fusion",,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",,208
Grand Cholan Indian Cuisine,"3 Turnberry Quay Pepper Street, London E14 9RD England",+44 20 7515 6888,5.0,14.93 - 21.89,"Indian, Asian",,"Vegetarian Friendly, Vegan Options",,209
Pera Restaurant islington,"170 Upper Street Islington, London N1 1RG England",+44 20 7704 6888,4.5,19.91 - 29.86,"Mediterranean, European, Turkish, Middle Eastern",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,210
Cacciari's Asia,"21 Bute St, South Kensington, London England",07979841148,5.0,39.81 - 69.67,"Japanese, International, Sushi, Asian, Healthy","Lunch, Dinner, Drinks",,,211
Boro Bistro,"Bank Chambers 6-10 Borough High Street Montague Close, London SE1 9QQ England",+44 20 7378 0788,4.5,,"French, Bar, European, Wine Bar","Drinks, Lunch, Dinner","Vegetarian Friendly, Vegan Options, Gluten Free Options",,212
Zala grill,"Camden Lock Place Unit 39, London NW1 8AL England",+44 20 3005 7453,4.5,5.97 - 15.92,"Mediterranean, Middle Eastern, Israeli",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,213
Ciullosteria,"31 Balham High Road, London SW12 9AL England",+44 20 8675 3072,4.5,,"Italian, Pizza, Mediterranean, European","Lunch, Dinner, Late Night","Vegetarian Friendly, Gluten Free Options, Vegan Options",,214
Ishtar,"10-12 Crawford Street, London W1U 6AZ England",+44 20 7224 2446,4.5,24.88 - 34.84,"Mediterranean, European, Turkish, Middle Eastern",,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",,215
Town House,"109-113 Queen's Gate The Kensington Hotel, South Kensington, London SW7 5LP England",+442075896300,4.5,19.91 - 59.72,"British, International",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,216
The Pine,"Winchester House 259-269 Old Marylebone Road, London NW1 5RA England",+44 20 3556 9960,4.0,,"Lebanese, Mediterranean","Breakfast, Lunch, Dinner",,"Reservations, Takeout, Outdoor Seating, Seating",217
Jolie Chelsea,"459 Kings Road Chelsea Funhouse, London SW10 0LR England",+44 20 8076 9846,4.5,19.91 - 39.81,"French, European",,"Vegetarian Friendly, Vegan Options",,218
Bar Remo,"2 Princes Street, London W1B 2LB England",+44 20 7629 1715,4.5,,"British, Romana, Lazio, Sicilian, Central-Italian, Southern-Italian","Breakfast, Lunch, Dinner, Brunch, Drinks, Late Night","Vegetarian Friendly, Vegan Options, Gluten Free Options",,219
Dhaba@49,"49 Chippenham Road Maida vale, London W9 2AH England",+44 20 3489 2424,4.5,19.91 - 29.86,"Indian, Asian, Street Food",,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",,220
Beck's cafe,"28 Red Lion Street, London WC1R 4PS England",+44 20 7405 8565,4.5,3.16 - 15.82,"Cafe, British",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,221
TigerBay Shisha Lounge,"234 Kingsbury Road, London NW9 0BH England",+44 7741 656676,4.5,,"Bar, Asian, International","Lunch, Dinner, Late Night, Drinks","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",,222
Fishers Restaurant & Takeaway,"19 Fulham High Street, London SW6 3JH England",+44 20 7371 5555,4.5,,"Seafood, British","Lunch, Dinner, Brunch","Vegetarian Friendly, Gluten Free Options",,223
Kahani,"1 Wilbraham Place, London SW1X 9AE England",+44 20 7730 7634,4.5,17.92 - 74.65,"Indian, Asian, Healthy",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,224
Cilantro,"244 Upper Richmond Road, London SW15 6TG England",+442033439317,5.0,,Indian,"Dinner, Brunch",,"Reservations, Delivery, Takeout, Seating, Street Parking, Serves Alcohol, Digital Payments, Free Wifi, Accepts Credit Cards, Table Service, Family style, Non-smoking restaurants",225
Little India,"32 Gloucester Road, London SW7 4RB England",+44 20 7584 3476,4.5,,Indian,"Lunch, Dinner, Late Night","Vegetarian Friendly, Vegan Options, Gluten Free Options",,226
The George on the Strand,"213 Strand Temple, London WC2R 1AP England",+44 20 7353 9638,4.5,15.92 - 28.86,"Gastropub, Bar, European, British",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,227
Little Wonder Cafe,"48 Hornsey Road, London N7 7BP England",+44 20 3602 8239,4.5,,"Cafe, British","Breakfast, Lunch, Dinner, Brunch","Vegetarian Friendly, Vegan Options, Gluten Free Options",,228
Chamuyo Bayswater,"66 Inverness Mews, London W2 3JQ England",+44 20 7727 5082,5.0,,"Steakhouse, Latin, Spanish, Argentinean, South American",Dinner,,,229
Taste of India,"126/130 Drummond Street Euston, London NW1 2PA England",+44 20 7387 0606,4.0,17.92 - 34.84,Indian,,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",,230
Tarshish,"16-20 High Road, London N22 6BX England",+44 20 8881 6479,4.5,,"Turkish, Grill","Lunch, Dinner, Drinks","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",,231
Plume Wine Bar,"26 Wellington Street Covent Garden, London WC2E 7DD England",+44 20 3948 4900,4.5,3.98 - 24.88,"European, Wine Bar, Contemporary",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,232
Palms of Goa,"12 Charlotte Street Opposite to Charlotte Street Hotel, London W1T 2LU England",+44 20 7636 1668,4.5,19.91 - 29.86,"Indian, Asian, Healthy",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,233
The Avocado Show - London Princes Street,"6 Princes Street, London W1B 2LG England",+44 7594 561103,4.5,17.92 - 24.88,"International, European, Contemporary, Healthy",,"Vegetarian Friendly, Vegan Options",,234
Comptoir Libanais London Bridge,"82 Tooley Street, London SE1 2TF England",+44 20 3432 0201,4.5,9.95 - 19.91,"Lebanese, Middle Eastern",,"Vegetarian Friendly, Vegan Options",,235
The Hoop and Grapes,"47 Aldgate High Street, London EC3N 1AL England",+44 20 7481 4583,4.5,3.98 - 11.95,"Bar, British, Pub",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,236
Iran Restaurant,"27 Shepherd Market Mayfair, London W1J 7PR England",+44 20 7409 3337,4.5,37.18 - 37.18,"Healthy, Middle Eastern, Persian",,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",,237
Mountain View Restaurant Greenwich,"160 Trafalgar Road, London SE10 9TZ England",+44 20 8858 0227,4.5,,"Indian, Asian, Nepali","Lunch, Dinner, Late Night","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",,238
Rudy's Pizza Napoletana - Soho,"80 Wardour Street Soho, London W1F 0TF England",+44 20 3930 0868,4.5,,"Pizza, Neapolitan, Campania, Southern-Italian, Italian","Lunch, Dinner, Drinks",,"Delivery, Takeout, Reservations, Seating, Serves Alcohol, Table Service, Highchairs Available, Full Bar, Wine and Beer, Digital Payments, Free Wifi, Accepts Credit Cards, Dog Friendly, Family style, Non-smoking restaurants, Gift Cards Available",239
Sapori Cafe' and Restaurant,"60 Horseferry Road, London SW1P 2AF England",+44 20 7222 5488,4.5,,"Italian, Cafe, Mediterranean","Breakfast, Lunch, Dinner, Brunch","Vegetarian Friendly, Vegan Options, Gluten Free Options",,240
The Bull Steak Expert,"54 Red Lion Street, London WC1R 4PD England",+44 20 7242 0708,4.5,14.93 - 49.76,"Steakhouse, Argentinean",,Gluten Free Options,,241
Bravi Ragazzi Pizza,"2A Sunnyhill Road, London SW16 2UH England",+44 20 8769 4966,4.5,,"Italian, Pizza, Neapolitan, Campania, Southern-Italian","Lunch, Dinner, Late Night","Vegetarian Friendly, Vegan Options",,242
All Bar One Butlers Wharf,"34 Shad Thames Butler's Wharf, London SE1 2YG England",+44 20 7940 9771,4.0,3.98 - 14.93,"Bar, British",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,243
Kings Stores,"14 Widegate Street Spitalfields, London E1 7HP England",+44 20 7247 4089,4.5,,"Bar, British, Pub, Contemporary","Lunch, Dinner, Brunch, Drinks","Vegetarian Friendly, Vegan Options, Gluten Free Options",,244
Visconti Of Westminster,"Marsham Court Marsham Street, London SW1P 4LA England",+44 20 8191 1781,5.0,17.92 - 51.76,"Italian, Bar, Mediterranean, Pub, Central-Italian, Southern-Italian","Lunch, Dinner, Drinks",,,245
Lorne Restaurant,"76 Wilton Road, London SW1V 1DE England",+44 20 3327 0210,4.5,29.86 - 59.72,"European, British",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,246
Casa Tua Camden,"176 Royal College Street, London NW1 0SP England",+44 20 8127 0460,4.5,9.95 - 24.88,"Wine Bar, Italian, Cafe, Mediterranean, Pizza",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,247
Mosaic,"60 Upper Thames Street The Westin London City, London EC4V 3AD England",+44 20 3988 0143,5.0,19.78 - 39.56,"Healthy, International","Breakfast, Lunch, Dinner, Drinks",,,248
Cafe Phillies,"2A Phillimore Gardens, London W8 7QB England",+44 20 7938 1890,4.5,,"Cafe, European","Breakfast, Lunch, Brunch, Drinks","Vegetarian Friendly, Vegan Options, Gluten Free Options",,249
Nepal Authentic Dining,"121 Uxbridge Road, London W12 8NL England",+44 20 8740 7551,4.5,14.93 - 21.89,"Indian, Asian, Nepali",,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",,250
Baileys Fish and Chips,"115 Dawes Rd, London SW6 7DU England",+44 20 7385 2021,4.5,2.38 - 8.7,"Seafood, Fast Food, British",,Vegetarian Friendly,,251
Namaste Holborn,"33 Boswell Street Holborn, WC1N 3BP England",+44 20 8127 1680,4.5,3.98 - 19.91,"Indian, International, Asian, Fruit parlours",,"Vegetarian Friendly, Vegan Options",,252
New London Cafe,"216 St. Pauls Road, London N1 2LL England",+44 20 7354 7321,4.5,2.99 - 7.96,"Cafe, European, British, International",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,253
The Andover Arms,"57 Aldensley Road Hammersmith, London W6 0DL England",+44 20 8748 2155,4.5,7.96 - 19.91,"Bar, British, Pub",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,254
Cilantro,"244 Upper Richmond Road, London SW15 6TG England",+442033439317,5.0,,Indian,"Dinner, Brunch",,"Reservations, Delivery, Takeout, Seating, Street Parking, Serves Alcohol, Digital Payments, Free Wifi, Accepts Credit Cards, Table Service, Family style, Non-smoking restaurants",255
Mosob Restaurant,"339 Harrow Road, London W9 3RB England",+44 207 289 9448,4.5,23.89 - 39.81,"African, Ethiopian",,"Vegetarian Friendly, Vegan Options, Gluten Free Options",,256
Fish Central,"149-151 Central St, London EC1V 8AP England",+44 20 7253 0229,4.5,,"Seafood, British","Lunch, Dinner, Late Night","Vegetarian Friendly, Gluten Free Options",,257
Efes Meze,"170 Trafalgar Road, London SE10 9TZ England",+44 20 8293 0626,4.5,4.97 - 24.88,"Greek, Turkish, Middle Eastern",,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",,258
Don Ciccio Osteria Italiana & Pizzeria,"1A Hampstead Lane Highgate, London N6 4RS England",+44 20 8245 8100,4.5,29.86 - 49.76,"Italian, Healthy, Pizza, Seafood, Tuscan",,Vegetarian Friendly,,259
Pizzetta Pizza,"22 Bute Street, London SW7 3EX England",+44 20 7584 9090,4.5,1.99 - 4.97,"Italian, Pizza, Fast Food",,"Vegetarian Friendly, Gluten Free Options",,260
The Avocado Show - London Princes Street,"6 Princes Street, London W1B 2LG England",+44 7594 561103,4.5,17.92 - 24.88,"International, European, Contemporary, Healthy",,"Vegetarian Friendly, Vegan Options",,261
Riverside Cafe Lambeth Pier,"Albert Embankment Lambeth Pier, London SE1 7SG England",+44 20 7401 7575,4.5,,"Cafe, European, British","Breakfast, Lunch, Brunch, Drinks","Vegetarian Friendly, Vegan Options, Gluten Free Options",,262
